location,year,AWARE,"DDD/1,000/day",proportion
Bosnia and Herzegovina,2018,Reserve,0.001,0
Bosnia and Herzegovina,2018,Watch,6.535,0.37
Bulgaria,2000,Access,7.331,0.755
Bulgaria,2000,Watch,2.354,0.243
Bulgaria,2000,Reserve,0,0
Bulgaria,2000,Other,0.019,0.002
Bulgaria,2001,Access,7.932,0.778
Bulgaria,2001,Watch,2.255,0.221
Bulgaria,2001,Reserve,0,0
Bulgaria,2001,Other,0.015,0.001
Bulgaria,2002,Access,7.337,0.763
Bulgaria,2002,Watch,2.265,0.236
Bulgaria,2002,Reserve,0,0
Bulgaria,2002,Other,0.013,0.001
Bulgaria,2003,Access,8.495,0.745
Bulgaria,2003,Watch,2.896,0.254
Bulgaria,2003,Reserve,0,0
Bulgaria,2003,Other,0.005,0
Bulgaria,2004,Access,9.073,0.697
Bulgaria,2004,Watch,3.938,0.303
Bulgaria,2004,Reserve,0.001,0
Bulgaria,2004,Other,0.002,0
Bulgaria,2005,Access,11.445,0.737
Bulgaria,2005,Watch,4.078,0.263
Bulgaria,2005,Reserve,0.001,0
Bulgaria,2005,Other,0.003,0
Bulgaria,2006,Access,11.766,0.702
Bulgaria,2006,Watch,4.988,0.298
Bulgaria,2006,Reserve,0.001,0
Bulgaria,2006,Other,0.01,0.001
Bulgaria,2007,Access,12.149,0.661
Bulgaria,2007,Watch,6.2,0.338
Bulgaria,2007,Reserve,0.001,0
Bulgaria,2007,Other,0.019,0.001
Bulgaria,2008,Access,12.219,0.618
Bulgaria,2008,Watch,7.539,0.381
Bulgaria,2008,Reserve,0.002,0
Bulgaria,2008,Other,0.02,0.001
Bulgaria,2009,Access,10.407,0.565
Bulgaria,2009,Watch,7.971,0.433
Bulgaria,2009,Reserve,0.003,0
Bulgaria,2009,Other,0.032,0.002
Bulgaria,2010,Access,9.911,0.553
Bulgaria,2010,Watch,7.965,0.445
Bulgaria,2010,Reserve,0.002,0
Bulgaria,2010,Other,0.032,0.002
Bulgaria,2011,Access,10.379,0.54
Bulgaria,2011,Watch,8.815,0.458
Bulgaria,2011,Reserve,0.004,0
Bulgaria,2011,Other,0.032,0.002
Bulgaria,2012,Access,9.637,0.523
Bulgaria,2012,Watch,8.758,0.475
Bulgaria,2012,Reserve,0.003,0
Bulgaria,2012,Other,0.028,0.002
Bulgaria,2013,Access,10.004,0.515
Bulgaria,2013,Watch,9.388,0.483
Bulgaria,2013,Reserve,0.003,0
Bulgaria,2013,Other,0.035,0.002
Bulgaria,2014,Access,11.14,0.493
Bulgaria,2014,Reserve,0.003,0
Bulgaria,2014,Watch,11.434,0.506
Bulgaria,2014,Other,0.023,0.001
Bulgaria,2015,Access,10.75,0.471
Bulgaria,2015,Reserve,0.002,0
Bulgaria,2015,Watch,12.049,0.528
Bulgaria,2015,Other,0.027,0.001
Bulgaria,2016,Access,10.261,0.456
Bulgaria,2016,Reserve,0.002,0
Bulgaria,2016,Watch,12.203,0.542
Bulgaria,2016,Other,0.033,0.001
Bulgaria,2017,Access,10.295,0.457
Bulgaria,2017,Reserve,0.002,0
Bulgaria,2017,Watch,12.207,0.541
Bulgaria,2017,Other,0.04,0.002
Bulgaria,2018,Access,10.85,0.447
Bulgaria,2018,Reserve,0.003,0
Bulgaria,2018,Watch,13.363,0.551
Bulgaria,2018,Other,0.036,0.001
Croatia,2005,Access,14.951,0.68
Croatia,2005,Watch,7.048,0.32
Croatia,2005,Reserve,0,0
Croatia,2006,Access,12.488,0.654
Croatia,2006,Watch,6.616,0.346
Croatia,2006,Reserve,0,0
Croatia,2007,Access,14.129,0.653
Croatia,2007,Watch,7.523,0.347
Croatia,2007,Reserve,0.001,0
Croatia,2008,Access,15.283,0.616
Croatia,2008,Watch,9.512,0.384
Croatia,2008,Reserve,0.002,0
Croatia,2009,Access,14.248,0.594
Croatia,2009,Watch,9.716,0.405
Croatia,2009,Reserve,0.003,0
Croatia,2010,Access,13.546,0.576
Croatia,2010,Watch,9.982,0.424
Croatia,2010,Reserve,0.003,0
Croatia,2011,Access,13.043,0.58
Croatia,2011,Watch,9.446,0.42
Croatia,2011,Reserve,0.004,0
Croatia,2012,Access,12.612,0.586
Croatia,2012,Watch,8.895,0.413
Croatia,2012,Reserve,0.006,0
Croatia,2013,Access,12.586,0.606
Croatia,2013,Watch,8.17,0.393
Croatia,2013,Reserve,0.006,0
Croatia,2014,Access,15.111,0.642
Croatia,2014,Watch,8.413,0.358
Croatia,2014,Reserve,0.007,0
Croatia,2015,Access,14.651,0.64
Croatia,2015,Watch,8.248,0.36
Croatia,2015,Reserve,0.009,0
Croatia,2016,Access,13.942,0.649
Croatia,2016,Watch,7.531,0.351
Croatia,2016,Reserve,0.011,0
Croatia,2017,Access,14.167,0.639
Croatia,2017,Watch,8.004,0.361
Croatia,2017,Reserve,0.013,0.001
Croatia,2018,Access,14.396,0.631
Croatia,2018,Watch,8.391,0.368
Croatia,2018,Reserve,0.015,0.001
Czech Republic,2000,Access,11.632,0.76
Czech Republic,2000,Watch,3.662,0.239
